t,x,y,z,yaw
7.2,-0.3660437996285824,0,1.7722471374644253,0
7.25,-0.38134405651808534,0,1.7758020180241654,0
7.300000000000001,-0.3966982634898233,0,1.7791161340371973,0
7.3500000000000005,-0.4121026321229764,0,1.7821886677949845,0
7.4,-0.42755336162008406,0,1.7850188611957978,0
7.45,-0.4430466397448375,0,1.7876060159317648,0
7.5,-0.4585786437626904,0,1.7899494936611666,0
7.550000000000001,-0.47414554138406206,0,1.7920487161659397,0
7.6000000000000005,-0.4897434917098961,0,1.7939031654943425,0
7.65,-0.5053686461793472,0,1.795512384088752,0
7.7,-0.5210171495193542,0,1.7968759748985588,0
7.75,-0.5366851406958719,0,1.797993601478135,0
7.800000000000001,-0.5523687538665215,0,1.7988649880698453,0
7.8500000000000005,-0.5680641193344333,0,1.7994899196720868,0
7.9,-0.5837673645030331,0,1.7998682420923382,0
7.95,-0.5994746148315471,0,1.799999861985203,0
8.0,-0.6151819947909898,0,1.799884746875442,0
8.05,-0.6308856288203915,0,1.7995229251659859,0
8.1,-0.6465816422830323,0,1.7989144861309279,0
8.15,-0.6622661624224568,0,1.7980595798934953,0
8.200000000000001,-0.6779353193180122,0,1.79695841738901,0
8.25,-0.6935852468396961,0,1.7956112703128433,0
8.3,-0.7092120836020689,0,1.7940184710533778,0
8.35,-0.7248119739169884,0,1.7921804126099976,0
8.4,-0.7403810687449459,0,1.79009754849612,0
8.450000000000001,-0.7559155266447573,0,1.7877703926272988,0
8.5,-0.7714115147213831,0,1.7851995191944225,0
8.55,-0.7868652095716375,0,1.7823855625220415,0
8.6,-0.8022727982275537,0,1.7793292169118593,0
8.65,-0.8176304790971802,0,1.7760312364714215,0
8.700000000000001,-0.8329344629025646,0,1.7724924349280533,0
8.75,-0.8481809736147001,0,1.7687136854280834,0
8.8,-0.8633662493852083,0,1.764695920321408,0
8.85,-0.8784865434745144,0,1.7604401309314484,0
8.9,-0.8935381251763022,0,1.7559473673105552,0
8.950000000000001,-0.908517280738008,0,1.7512187379809259,0
9.0,-0.923420314277134,0,1.7462554096610914,0
9.05,-0.9382435486931551,0,1.7410586069780465,0
9.1,-0.9529833265747826,0,1.735629612165092,0
9.15,-0.9676360111023802,0,1.7299697647454624,0
9.200000000000001,-0.9821979869452948,0,1.724080461201818,0
9.25,-0.9966656611538816,0,1.7179631546316845,0
9.3,-1.0110354640460142,0,1.7116193543889235,0
9.35,-1.025303850087849,0,1.7050506257113203,0
9.4,-1.0394672987686335,0,1.6982585893343858,0
9.450000000000001,-1.053522315469337,0,1.6912449210914646,0
9.5,-1.0674654323248978,0,1.6840113515002488,0
9.55,-1.0812932090798686,0,1.6765596653357955,0
9.600000000000001,-1.0950022339372438,0,1.6688917011901645,0
9.65,-1.1085891244002712,0,1.6610093510187711,0
9.700000000000001,-1.1220505281070365,0,1.6529145596735728,0
9.75,-1.1353831236576006,0,1.6446093244232096,0
9.8,-1.1485836214335126,0,1.6360956944602052,0
9.850000000000001,-1.161648764409468,0,1.6273757703953615,0
9.9,-1.1745753289569363,0,1.6184517037394621,0
9.950000000000001,-1.18736012563954,0,1.6093256963724207,0
